x	y
-4.594000	-0.979702
-4.593000	-0.975853
-4.592000	-0.971676
-4.591000	-0.967172
-4.590000	-0.962343
-4.589000	-0.957191
-4.588000	-0.951718
-4.587000	-0.945925
-4.586000	-0.939815
-4.585000	-0.933390
-4.584000	-0.926652
-4.583000	-0.919605
-4.582000	-0.912250
-4.581000	-0.904590
-4.580000	-0.896629
-4.579000	-0.888368
-4.578000	-0.879811
-4.577000	-0.870960
-4.576000	-0.861820
-4.575000	-0.852393
-4.574000	-0.842683
-4.573000	-0.832693
-4.572000	-0.822427
-4.571000	-0.811887
-4.570000	-0.801079
-4.569000	-0.790005
-4.568000	-0.778670
-4.567000	-0.767078
-4.566000	-0.755232
-4.565000	-0.743136
-4.564000	-0.730796
-4.563000	-0.718215
-4.562000	-0.705397
-4.561000	-0.692348
-4.560000	-0.679070
-4.559000	-0.665570
-4.558000	-0.651852
-4.557000	-0.637919
-4.556000	-0.623778
-4.555000	-0.609433
-4.554000	-0.594889
-4.553000	-0.580151
-4.552000	-0.565223
-4.551000	-0.550111
-4.550000	-0.534821
-4.549000	-0.519356
-4.548000	-0.503723
-4.547000	-0.487927
-4.546000	-0.471973
-4.545000	-0.455866
-4.544000	-0.439613
-4.543000	-0.423217
-4.542000	-0.406686
-4.541000	-0.390024
-4.540000	-0.373237
-4.539000	-0.356330
-4.538000	-0.339310
-4.537000	-0.322182
-4.536000	-0.304952
-4.535000	-0.287624
-4.534000	-0.270207
-4.533000	-0.252704
-4.532000	-0.235121
-4.531000	-0.217466
-4.530000	-0.199743
-4.529000	-0.181958
-4.528000	-0.164118
-4.527000	-0.146227
-4.526000	-0.128293
-4.525000	-0.110320
-4.524000	-0.092316
-4.523000	-0.074285
-4.522000	-0.056234
-4.521000	-0.038168
-4.520000	-0.020094
-4.519000	-0.002018
-4.518000	0.016056
-4.517000	0.034120
-4.516000	0.052169
-4.515000	0.070197
-4.514000	0.088198
-4.513000	0.106166
-4.512000	0.124096
-4.511000	0.141981
-4.510000	0.159816
-4.509000	0.177595
-4.508000	0.195313
-4.507000	0.212963
-4.506000	0.230540
-4.505000	0.248038
-4.504000	0.265452
-4.503000	0.282776
-4.502000	0.300004
-4.501000	0.317131
-4.500000	0.334151
-4.499000	0.351060
-4.498000	0.367851
-4.497000	0.384519
-4.496000	0.401059
-4.495000	0.417466
-4.494000	0.433734
-4.493000	0.449858
-4.492000	0.465834
-4.491000	0.481655
-4.490000	0.497318
-4.489000	0.512817
-4.488000	0.528147
-4.487000	0.543303
-4.486000	0.558281
-4.485000	0.573076
-4.484000	0.587683
-4.483000	0.602098
-4.482000	0.616316
-4.481000	0.630333
-4.480000	0.644145
-4.479000	0.657746
-4.478000	0.671133
-4.477000	0.684302
-4.476000	0.697249
-4.475000	0.709969
-4.474000	0.722459
-4.473000	0.734715
-4.472000	0.746733
-4.471000	0.758509
-4.470000	0.770040
-4.469000	0.781323
-4.468000	0.792353
